MAF/TIGER Object Identifier,Zip Code Tabulation Area Code,Geographic Identifier,Base Name,Legal/Statistical Area Description Code,Name,ZIP Code Tabulation Area FIPS Class Code,MAF/TIGER Feature Class Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Decennial Housing Count,Decennial Population Count,Object ID,Shape Area,Shape Length
2.21704E+14,23691,23691,23691,Z5,ZCTA5 23691,B5,G6350,S,27893930,17470662,37.2590546,-76.5732331,37.2596224,-76.572884,44,577,24641,71742480.82,54576.65734
2.21704E+14,24467,24467,24467,Z5,ZCTA5 24467,B5,G6350,S,62774895,431463,38.259212,-78.9724888,38.2549934,-78.9713232,922,2204,24642,102675216.7,82587.93139
2.21704E+14,24363,24363,24363,Z5,ZCTA5 24363,B5,G6350,S,197956318,2066108,36.6137006,-81.4007164,36.6166295,-81.4050483,882,1242,24643,311061146.7,119355.1354
2.21704E+14,23168,23168,23168,Z5,ZCTA5 23168,B5,G6350,S,77150698,4450266,37.3941876,-76.8319771,37.3957569,-76.8251097,3309,8624,24644,129510160.5,75859.28445
2.21704E+14,23420,23420,23420,Z5,ZCTA5 23420,B5,G6350,S,92331847,11251283,37.5842877,-75.8158808,37.5990703,-75.8174824,1212,2387,24645,165230095.5,87768.29632
2.21704E+14,23415,23415,23415,Z5,ZCTA5 23415,B5,G6350,S,81803088,1678967,37.9746699,-75.534371,37.9751528,-75.5356026,973,2021,24646,134567992.1,87002.59186
2.21704E+14,23437,23437,23437,Z5,ZCTA5 23437,B5,G6350,S,259306794,4330564,36.6353238,-76.8025607,36.6271154,-76.8031971,1890,4448,24647,410219125.6,118747.8496
2.21704E+14,24381,24381,24381,Z5,ZCTA5 24381,B5,G6350,S,131584533,688955,36.7245041,-80.8391861,36.7222845,-80.8332409,1890,3657,24648,206290987.6,140826.3434
2.21704E+14,23321,23321,23321,Z5,ZCTA5 23321,B5,G6350,S,69041236,2058572,36.8006379,-76.4219069,36.8003977,-76.4211521,14461,37752,24649,111104189.3,55785.10333
2.21704E+14,24085,24085,24085,Z5,ZCTA5 24085,B5,G6350,S,429758667,5466690,37.675392,-79.8363753,37.6839298,-79.8573186,1247,2220,24650,695938303.3,201072.8156
2.21704E+14,23149,23149,23149,Z5,ZCTA5 23149,B5,G6350,S,135950228,8750897,37.5710071,-76.6130949,37.5756723,-76.609282,1392,3031,24651,230737851.6,119125.7774
2.21704E+14,22202,22202,22202,Z5,ZCTA5 22202,B5,G6350,S,10156729,264761,38.8569643,-77.0516305,38.8568537,-77.0514952,18203,28472,24652,17210717.87,22651.89997
2.21704E+14,22733,22733,22733,Z5,ZCTA5 22733,B5,G6350,S,115631402,1013106,38.3318938,-78.0466523,38.3211092,-78.0397502,550,1391,24653,189859592.2,113395.1601
2.21704E+14,23837,23837,23837,Z5,ZCTA5 23837,B5,G6350,S,285992767,1251998,36.7581378,-77.0875139,36.7570912,-77.09002,1839,4109,24654,448370740.8,141442.9805
2.21704E+14,22301,22301,22301,Z5,ZCTA5 22301,B5,G6350,S,3594846,0,38.8199568,-77.0592851,38.8199568,-77.0592851,6615,14356,24655,5930634.773,15103.55714
2.21704E+14,29733,29733,29733,Z5,ZCTA5 29733,B5,G6350,S,331092,0,34.9394527,-81.0317193,34.9394527,-81.0317193,6,1710,24656,493837.1172,2944.066695
2.21704E+14,29728,29728,29728,Z5,ZCTA5 29728,B5,G6350,S,246406110,898037,34.7682451,-80.4043815,34.7649531,-80.4005578,4322,9849,24657,367347275.8,126719.7842
2.21704E+14,29944,29944,29944,Z5,ZCTA5 29944,B5,G6350,S,351808523,118177,32.7912727,-81.0340969,32.795699,-81.0345209,2182,4556,24658,499383008.2,168901.2155
2.21704E+14,29572,29572,29572,Z5,ZCTA5 29572,B5,G6350,S,22944668,1047394,33.7681218,-78.7928095,33.769526,-78.7922847,11786,10711,24659,34807883.72,35151.22031
2.21704E+14,29575,29575,29575,Z5,ZCTA5 29575,B5,G6350,S,26448914,286496,33.6282178,-78.9737713,33.629779,-78.9740197,14881,18135,24660,38663030.63,27613.27623
2.21704E+14,29384,29384,29384,Z5,ZCTA5 29384,B5,G6350,S,110901419,9094816,34.3397698,-82.0904013,34.3402519,-82.0901811,2556,3968,24661,176433450.7,81601.31235
2.21704E+14,29717,29717,29717,Z5,ZCTA5 29717,B5,G6350,S,96818050,990185,34.9511814,-81.4429641,34.9507298,-81.4488546,576,1364,24662,145926978.4,74372.76335
2.21704E+14,22485,22485,22485,Z5,ZCTA5 22485,B5,G6350,S,455225106,20572606,38.2720768,-77.1592052,38.2771795,-77.1626377,10036,26025,24663,773179903.4,177067.8496
2.21704E+14,24083,24083,24083,Z5,ZCTA5 24083,B5,G6350,S,26060267,1124370,37.406078,-79.920337,37.405171,-79.9201884,1621,3814,24664,43158721.44,44588.33695
2.21704E+14,24237,24237,24237,Z5,ZCTA5 24237,B5,G6350,S,140684050,151267,37.03937,-82.2642493,37.0406359,-82.2618849,586,1108,24665,221446967.8,96468.1059
2.21704E+14,29111,29111,29111,Z5,ZCTA5 29111,B5,G6350,S,169445124,274885,33.7864611,-80.0143155,33.7784958,-80.0205825,584,1432,24666,246335768.4,90197.63293
